"CY Ursae Majoris","CY Ursae Majoris","Q80607131","0"
"IY Ursae Majoris","IY Ursae Majoris","Q98523828","0"
"SW Ursae Majoris","SW Ursae Majoris","Q79603992","0"
"LEDA 1245565","LEDA 1245565","Q30896257","1"
"SN 2001en","SN 2001en","Q9328250","1"
"SN 1998bp","SN 1998bp","Q9327620","1"
"Arras railway station","Arras railway station","Q1990647","2"
"Guangzhou South railway station","Guangzhou South railway station","Q1073420","2"
"Bilbao-Abando","Bilbao-Abando","Q800535","2"
"Runddeln","Runddelen","Q7379764","3"
"Varefjfll","Vardefjell","Q24254907","3"
"Bukovc.","Bukovec","Q23826100","3"
"Lftschiff","Luftschiff","Q15118894","3"
"Lotterberh","Lotterberg","Q23822585","3"
"Hardy roses for New England gardens. No. 3","Hardy roses for New England gardens. No. 3","Q51389104","4"
"Catalog and hand book of valuable information to growers","Catalog and hand book of valuable information to growers","Q51389099","4"
"Planting contract","Planting contract","Q51389092","4"
"San Pedro","San Pedro","Q6063560","5"
"San Juan","San Juan","Q6063555","5"
"Parroquia Rafael Urdaneta","Parroquia Rafael Urdaneta","Q6063521","5"
"Parroquia Libertad","Parroquia Libertad","Q6063471","5"
"Parroquia La Pastora","Parroquia La Pastora","Q6063453","5"
"La Candelaria","La Candelaria","Q6063451","5"
"Ontinyent","Ontinyent","Q973641","6"
"Parla","Parla","Q824651","6"
"Riolobos","Riolobos","Q1613493","6"
"Cape Barren Island","Cape Barren Island","Q1034271","6"
"Lorena","Lorena","Q27868058","7"
"General Nott","General Nott","Q24027460","7"
"Claudia","Claudia","Q24027414","7"
"shipwrecking","shipwrecking","Q906512","8"
"V466 Andromedae","V466 Andromedae","Q91571634","9"
"VY Aquarii","VY Aquarii","Q86816688","9"
"IR Geminorum","IR Geminorum","Q83220680","9"
"BC Ursae Majoris","BC Ursae Majoris","Q85486413","9"
"CY Ursae Majoris","CY Ursae Majoris","Q80607131","9"
"Galadriel","Galadriel","Q204274","10"
"Amras","Amras","Q431704","10"
"Gil-galad","Gil-galad","Q718383","10"
"House of Finwë","House of Finwë","Q2472713","11"
"St Paul's Church","St Paul's Church","Q26546632","12"
"Tewkesbury Abbey","Tewkesbury Abbey","Q3405514","12"
"Selby Abbey","Selby Abbey","Q1703400","12"
"Grade II listed building","Grade II listed building","Q15700834","13"
"Grade I listed building","Grade I listed building","Q15700818","13"
"Arkhangelsky selsoviet","Arkhangelsky selsoviet","Q4070622","14"
"Zhuravno","Zhuravno","Q9273923","14"
"Haren","Haren","Q111625631","14"
"Arkhangelskoye","Arkhangelskoye","Q1060841","15"
"Zhuravno","Zhuravno","Q9273923","15"
"Haren","Haren","Q111625631","15"
"Cerro!Huarhurcocha","Cerro Huarhurcocha","Q31626589","16"
"Cerro Cuchdmia Punta","Cerro Cuchamia Punta","Q31626539","16"
"Cesro Andahuasi.","Cerro Andahuasi","Q31626527","16"
"Cerro Puludhe","Cerro Puluche","Q31626515","16"
"erro Cru Grande","Cerro Cruz Grande","Q31626502","16"
"Cesro Cariache Punta","Cerro Cariache Punta","Q31626489","16"
"2000 Summer Olympics","2000 Summer Olympics","Q8544","17"
"1996 Summer Olympics","1996 Summer Olympics","Q8531","17"
"1992 Summer Olympics","1992 Summer Olympics","Q8488","17"
"1988 Summer Olympics","1988 Summer Olympics","Q8470","17"
"1984 Summer Olympics","1984 Summer Olympics","Q8456","17"
"1980 Summer Olympics","1980 Summer Olympics","Q8450","17"
"1976 Summer Olympics","1976 Summer Olympics","Q8444","17"
"KV21","KV21","Q742922","18"
"KV49","KV49","Q690563","18"
"KV14","KV14","Q684908","18"
"KV45","KV45","Q662744","18"
"LIN 203","LIN 203","Q95031557","19"
"[SG2005] SMC 42","[SG2005] SMC 42","Q95031510","19"
"[SG2005] SMC 50","[SG2005] SMC 50","Q95031434","19"
"SXP 7.92","SXP 7.92","Q94302194","19"
"[SST2011] J124152.72+411631.7","[SST2011] J124152.72+411631.7","Q94203846","19"
"Jelgafell","Helgafell","Q1141849","20"
"Tungurahua voncano","Tungurahua volcano","Q207421","20"
"Kodutka","Khodutka","Q2670289","20"
"amehen","Gamchen","Q2666935","20"
"Yoyampplsky","Voyampolsky","Q2666931","20"
"Iceland","Iceland","Q189","21"
"Ecuador","Ecuador","Q736","21"
"Russia","Russia","Q159","21"
"Nordic Volcanological Center","Nordic Volcanological Center","Q9050633","22"
"Instituto Geofísico de la Escuela Politécnica Nacional","Instituto Geofísico de la Escuela Politécnica Nacional","Q29021307","22"
"Institute of Volcanology and Seismology","Institute of Volcanology and Seismology","Q2656051","22"
"Victory Through Air Power","Victory Through Air Power","Q2471434","23"
"Saludos Amigos","Saludos Amigos","Q842306","23"
"Adjustment","Adjustment","Q80571261","23"
"Marc Davis","Marc Davis","Q568631","24"
"Joe Grant","Joe Grant","Q205002","24"
"Ian Mackinnon","Ian Mackinnon","Q80570754","24"
"World War II","World War II","Q362","25"
"tourism","tourism","Q49389","25"
"obsession","obsession","Q6048309","25"
"Mella","Mella","Q658207","26"
"Florida","Florida","Q643617","26"
"Santa Cruz del Sur","Santa Cruz del Sur","Q643313","26"
"Nuevitas","Nuevitas","Q643081","26"
"Esmeralda","Esmeralda","Q643074","26"
"Sierra de Cubitas","Sierra de Cubitas","Q643052","26"
"Vertientes","Vertientes","Q643047","26"
"Candelaria","Candelaria","Q603136","27"
"Jobabo","Jobabo","Q600105","27"
"Venezuela","Venezuela","Q593830","27"
"Cienfuegos","Cienfuegos","Q190005","27"
"Artemisa","Artemisa","Q115006","27"
"Guanajay","Guanajay","Q114977","27"
"Zinyak","Zinyak","Q51913772","28"
"Preedex Yoa","Preedex Yoa","Q51879933","28"
"Gorrath","Gorrath","Q5411265","28"
"antagonist","antagonist","Q245204","29"
"main antagonist","main antagonist","Q55712911","29"
"CXOU J162046.2-513006","CXOU J162046.2-513006","Q89931562","30"
"2MASS J07363415+6538548","2MASS J07363415+6538548","Q89410737","30"
"WRAY 15-793","WRAY 15-793","Q89225314","30"
"2MASS J18553040-0236167","2MASS J18553040-0236167","Q88824209","30"
"OGLE LMC130.4 19472","OGLE LMC130.4 19472","Q88627319","30"
"Pariah","Pariah","Q2422510","31"
"Garth Ranzz","Garth Ranzz","Q2419213","31"
"He-Man","He-Man","Q550404","31"
"DC Universe","DC Universe","Q1152150","32"
"Masters of the Universe universe","Masters of the Universe universe","Q101210012","32"
"Adam","Adam","Q2329269","33"
"Kell","Kell","Q20671945","33"
"Garth","Garth","Q15039706","33"
"Black Lantern Corps","Black Lantern Corps","Q1648096","34"
"Legion of Super-Heroes","Legion of Super-Heroes","Q95031","34"
"Heroic Warriors","Heroic Warriors","Q25213020","34"
"Tom Cavanagh","Tom Cavanagh","Q256061","35"
"Calum Worthy","Calum Worthy","Q2934421","35"
"Dolph Lundgren","Dolph Lundgren","Q181678","35"
"Seymour Johnson Air Force Base","Seymour Johnson Air Force Base","Q1766303","36"
"Fort Gates","Fort Gates","Q5471202","36"
"Fort Anderson","Fort Anderson","Q5470726","36"
"C. Plummer","Christopher Plummer","Q190523","37"
"P. Kalyan","Pawan Kalyan","Q6067643","37"
"H. Roshan","Hrithik Roshan","Q233619","37"
"Kajol","Kajol","Q147395","37"
"Christopher Plummer filmography","Christopher Plummer filmography","Q48697869","38"
"Pawan Kalyan filmography","Pawan Kalyan filmography","Q18129290","38"
"Hrithik Roshan filmography","Hrithik Roshan filmography","Q18327500","38"
"Kajol filmography","Kajol filmography","Q18924381","38"
"John Abbott","John Abbott","Q128696","39"
"Allu Arjun","Allu Arjun","Q642827","39"
"Rajesh Roshan","Rajesh Roshan","Q2074877","39"
"Veeru Devgan","Veeru Devgan","Q7918225","39"
"City Highway 178A","City Highway 178A","Q64008275","40"
"City Highway 172A","City Highway 172A","Q65312909","40"
"City Highway 172B","City Highway 172B","Q65312906","40"
"County Highway 159A","County Highway 159A","Q65312966","40"
"City Highway 178","City Highway 178","Q15934132","41"
"City Highway 165","City Highway 165","Q15929921","41"
"City Highway 172","City Highway 172","Q15915629","41"
"County Highway 159","County Highway 159","Q15802435","41"
"City Highway 178","City Highway 178","Q15934132","42"
"City Highway 172","City Highway 172","Q15915629","42"
"County Highway 159","County Highway 159","Q15802435","42"
"Corot 1896-1875","Corot 1796-1875","Q41289330","43"
"Worshiping thg Ancestors: Chinese Commemorative Portraits","Worshiping the Ancestors: Chinese Commemorative Portraits","Q106575016","43"
"Ercole Ramazzani de lb Rocha - Aspetti del Manierismo nelle Marche della Controriforma","Ercole Ramazzani de la Rocha - Aspetti del Manierismo nelle Marche della Controriforma","Q101552120","43"
"Nexus 5X","Nexus 5X","Q21031158","44"
"Samsung Galaxy S6","Samsung Galaxy S6","Q18941713","44"
"BlackBerry Z30","BlackBerry Z30","Q16842889","44"
"Samsung Galaxy J","Samsung Galaxy J SGH","Q15637095","44"
"Motorola Moto Z4","Motorola Moto Z4","Q85786462","44"
"KIC 8248812","KIC 8248812","Q88873181","45"
"2MASS J19502866+4841366","2MASS J19502866+4841366","Q88872886","45"
"HD 162754","HD 162754","Q87061469","45"
"HD 160682","HD 160682","Q85605029","45"
"V* V2281 Cyg","V* V2281 Cyg","Q85005925","45"
"KOI-6427","KOI-6427","Q81031399","45"
"Ofer","Ofer","Q2777769","46"
"Manot","Manot","Q2777738","46"
"Tzuriel","Tzuriel","Q2777597","46"
"Dor","Dor","Q2777560","46"
"Aviel","Aviel","Q2523691","46"
"Balfouria","Balfouria","Q2479614","46"
"Cala Mitjana","Cala Mitjana","Q28120165","47"
"Cala Nova","Cala Nova","Q21705009","47"
"Mechanics Bay","Mechanics Bay","Q22699016","47"
"Mallorca","Mallorca","Q8828","48"
"Amery Ice Shelf","Amery Ice Shelf","Q470201","48"
"Felanitx","Felanitx","Q743741","49"
"Palma","Palma","Q8826","49"
"Antarctic Treaty area","Antarctic Treaty area","Q21590062","49"
"parberegg.","Sparberegg","Q2307128","50"
"Schwiederttorf","Schwiederstorf","Q2257454","50"
"Ohdeme","Oedeme","Q2014938","50"
"Ochsfngarten","Ochsengarten","Q2013597","50"
"Niedermduer","Niedermauern","Q1988251","50"
"Mösesn","Mösern","Q1958167","50"
"Höwisf","Höwisch","Q704158","51"
"Oldesum","Oldersum","Q883624","51"
"Oberhauzental.","Oberhautzental","Q877497","51"
"Snning","Senning","Q877444","51"
"Burg.","Burg","Q875159","51"
"eethen","Seethen","Q677041","51"
"Louville","Louville","Q1872349","52"
"Littrow","Littrow","Q1865962","52"
"Joliot","Joliot","Q3809832","52"
"Brunner","Brunner","Q2741579","52"
"Taylor","Taylor","Q2397857","52"
"Strabo","Strabo","Q2239699","52"
"Ceotral Island","Central Island","Q1053880","53"
"ristap da Cunha","Tristan da Cunha","Q2454241","53"
"Nos Be","Nosy Be","Q1330558","53"
"Buckle Iland","Buckle Island","Q999791","53"
"gallium-93","gallium-73","Q18844962","54"
"gallium-73","gallium-72","Q18844961","54"
"galliu-70","gallium-70","Q18844960","54"
"galium-66","gallium-66","Q18844959","54"
"gallium-6","gallium-65","Q18844958","54"
"gallum-64","gallium-64","Q18844957","54"
"galliup-63","gallium-63","Q18844956","54"
"UCAC2#30021172","UCAC2 30021172","Q91603515","55"
"VCAC2 30021283","UCAC2 30021283","Q91603422","55"
"UCAC2 3199059","UCAC2 30199059","Q91603051","55"
"Brás District","Brás District","Q12084541","56"
"Vila Prudente District","Vila Prudente District","Q10391152","56"
"Vila Matilde District","Vila Matilde District","Q10390966","56"
"John E. Jaqua Center for Student Athletes","John E. Jaqua Center for Student Athletes","Q12060885","57"
"Haus vun der Natur","Haus vun der Natur","Q13102969","57"
"Governor Oliver Ames Estate","Governor Oliver Ames Estate","Q14635252","57"
"University of Oregon","University of Oregon","Q766145","58"
"Luxembourg","Luxembourg","Q1842","58"
"The Trustees of Reservations","The Trustees of Reservations","Q7770575","58"
"Flag of Alexeyevsky District","flag of Alexeyevsky District","Q6677505","59"
"Flag of Nikolayevsky District","flag of Nikolayevsky District","Q18216724","59"
"Flag of Kuybyshevsky District","flag of Kuybyshevsky District","Q4486711","59"
"Stillfried","Stillfried","Q2349606","60"
"Villa Mairea","Villa Mairea","Q2706241","60"
"Design Museum","Design Museum","Q3330350","60"
"Yad Vashem","Yad Vashem","Q156591","60"
"Wartburg","Wartburg","Q151545","60"
"Idril","Idril","Q1767115","61"
"Turgon","Turgon","Q1135680","61"
"Galadriel","Galadriel","Q204274","61"
"Elenwë","Elenwë","Q2369345","62"
"Eärwen","Eärwen","Q1851004","62"
"Anairë","Anairë","Q2290764","62"
"Elenwë","Elenwë","Q2369345","63"
"Tuor","Tuor","Q1806136","63"
"Celeborn","Celeborn","Q719208","63"
"Turgon","Turgon","Q1135680","64"
"Finarfin","Finarfin","Q1135676","64"
"Fingolfin","Fingolfin","Q217190","64"
"Idril","Idril","Q1767115","65"
"Eärendil","Eärendil","Q593531","65"
"Celebrían","Celebrían","Q1643661","65"
"Wignacourt Aqueduct","Wignacourt Aqueduct","Q15527073","66"
"Pont del Diable","Pont del Diable","Q11942336","66"
"Catskill Aqueduct","Catskill Aqueduct","Q5054025","66"
"Salon d'Awtomne","Salon d'Automne","Q51092064","67"
"Simon Memorial Rrize","Simon Memorial Prize","Q24955922","67"
"Canadian Newsmaker of tje Year","Canadian Newsmaker of the Year","Q5030382","67"
"Boulevard Boisson","Boulevard Boisson","Q107214788","68"
"Danube Boulevard in Plovdiv","Danube Boulevard in Plovdiv","Q31192974","68"
"Tsar Boris III – Obedinitel Boulevard","Tsar Boris III – Obedinitel Boulevard","Q31192964","68"
"boulevard Richard-Wallace","boulevard Richard-Wallace","Q21098035","68"
"Sabanetas","Sabanetas","Q7395891","69"
"Real","Real","Q7300838","69"
"Tegucigalpa","Tegucigalpa","Q3238","70"
"Perth","Perth","Q3183","70"
"Sapporo","Sapporo","Q37951","70"
"Quito","Quito","Q2900","70"
"Tehran","Tehran","Q3616","70"
"Melbourne","Melbourne","Q3141","70"
"Algiers","Algiers","Q3561","70"
"Paris Gay Pride 2012","Paris Gay Pride 2012","Q65563102","71"
"Marche des fiertés en banlieue 2019 à Saint-Denis","Marche des fiertés en banlieue 2019 à Saint-Denis","Q64518212","71"
"Marche des Fiertés 2021 à Lyon","Marche des Fiertés 2021 à Lyon","Q109829122","71"
"Stockholm Palace","Stockholm Palace","Q750444","72"
"Communications Museum","Communications Museum","Q15905060","72"
"London Hotel","London Hotel","Q22695992","72"
"Shangri-La","Shangri-La","Q83147988","73"
"Studio 13","Studio 13","Q83036446","73"
"The Hit Factory","The Hit Factory","Q6122634","73"
"The Aucklander","The Aucklander","Q111610008","74"
"Hyatt Regency Auckland Residences","Hyatt Regency Auckland Residences","Q111603296","74"
"Scene One","Scene One","Q111603228","74"
"Federal Apartments","Federal Apartments","Q111603203","74"
"Kingsview Apartments","Kingsview Apartments","Q111598763","74"
"Hotel Grand Chancellor Auckland City","Hotel Grand Chancellor Auckland City","Q111408304","74"
"Shangri La","Shangri La","Q111398992","74"
"Abysinian Ground Hornbill","Abyssinian Ground Hornbill","Q480086","75"
"Great-winged Setrel","Great-winged Petrel","Q313391","75"
"Eastern ellow Robin","Eastern Yellow Robin","Q1082147","75"
"Red-backed Mouseblrd","Red-backed Mousebird","Q1074311","75"
"zirconium-98","zirconium-97","Q18845336","76"
"zironium-95","zirconium-95","Q18845335","76"
"zrconium-93","zirconium-93","Q18845334","76"
"Landesbühne (Lenz)","Landesbühne (Lenz)","Q67200083","77"
"Narrative of a Second Expedition to the Shores of the Polar Sea in the Years 1825, 1826, and 1827","Narrative of a Second Expedition to the Shores of the Polar Sea in the Years 1825, 1826, and 1827","Q67086798","77"
"The life and travels of Thomas Simpson, the Arctic discoverer","The life and travels of Thomas Simpson, the Arctic discoverer","Q74039895","77"
"Siegfried Lenz","Siegfried Lenz","Q76412","78"
"John Richardson","John Richardson","Q545944","78"
"Alexander Simpson","Alexander Simpson","Q74029515","78"
"Hoffmann und Campe","Hoffmann und Campe","Q2152124","79"
"John Murray","John Murray","Q1232629","79"
"Richard Bentley","Richard Bentley","Q172299","79"
"Mount Makihata","Mount Makihata","Q11479929","80"
"Schlicker Seespitze","Schlicker Seespitze","Q2239643","80"
"Saile","Saile","Q2212240","80"
"Kuhljochspitze","Kuhljochspitze","Q1791229","80"
"Riepenwand","Riepenwand","Q1740568","80"
"Marchreisenspitze","Marchreisenspitze","Q1514704","80"
"Middle Triassic","Middle Triassic","Q929395","81"
"Norian","Norian","Q1080207","81"
"Rose Tower","Rose Tower","Q648338","82"
"Atlanta Marriott Marquis","Atlanta Marriott Marquis","Q756193","82"
"Elm Place","Elm Place","Q11878340","82"
"Conrad Dubai","Conrad Dubai","Q550379","82"
"Michelangelo Towers","Michelangelo Towers","Q6836671","82"
"Westin Harbour Castle Hotel","Westin Harbour Castle Hotel","Q2565400","82"
"Dorint Hotel Tower","Dorint Hotel Tower","Q760541","82"
"NSV 13204","NSV 13204","Q93830531","83"
"V* DT Pup","V* DT Pup","Q93815970","83"
"V* V1056 Cas","V* V1056 Cas","Q93790169","83"
"V* V1305 Tau","V* V1305 Tau","Q93751425","83"
"V* V689 Cen","V* V689 Cen","Q93726712","83"
"V* V886 Per","V* V886 Per","Q93694725","83"
"Fatanity","Fatality","Q1982457","84"
"Misuer Mind","Mister Mind","Q2339564","84"
"Terax","Terrax","Q1984020","84"
"Tyr","Tyr","Q3544285","84"
"Scarlet Skie","Scarlet Skier","Q3545243","84"
"Viliax","Vilgax","Q3558401","84"
"Saint Walkfr","Saint Walker","Q3784237","84"
"Jade","Jade","Q2429447","85"
"Marvel Family","Marvel Family","Q1459178","85"
"Silver Surfer","Silver Surfer","Q95153","85"
"Timber Wolf","Timber Wolf","Q3991394","85"
"G'nort","G'nort","Q3755530","85"
"Max Tennyson","Max Tennyson","Q2834947","85"
"Larfleeze","Larfleeze","Q2398390","85"
"Cherokee County","Cherokee County","Q619609","86"
"Laurens County","Laurens County","Q508288","86"
"Sumter County","Sumter County","Q513933","86"
"South Carolina","South Carolina","Q1456","87"
"Typhoon Mindulle","Typhoon Mindulle","Q108665166","88"
"Tropical Storm Dianmu","Tropical Storm Dianmu","Q108661627","88"
"Typhoon Goni","Typhoon Goni","Q108316157","88"
"Typhoon Rai","Typhoon Rai","Q110087935","88"
"copper-78","copper-78","Q18844920","89"
"copper-77","copper-77","Q18844918","89"
"copper-75","copper-75","Q18844913","89"
"copper-74","copper-74","Q18844912","89"
"copper-73","copper-73","Q18844911","89"
"copper-70","copper-70","Q18844906","89"
"Hilton Frankfurt City Centre","Hilton Frankfurt City Centre","Q27825013","90"
"Hilton Garden Inn Dublin Custom House","Hilton Garden Inn Dublin City Centre","Q25529551","90"
"Hilton Zurich Airport","Hilton Zurich Airport","Q25204442","90"
"Hilton Baku","Hilton Baku","Q19714214","90"
"Hilton Manchester Deansgate","Hilton Manchester Deansgate","Q19513101","90"
"Tempe Municipal Building","Tempe Municipal Building","Q18158673","90"
"Hilton Worldwide","Hilton Worldwide","Q1057464","91"
"Tempe","Tempe","Q51685","91"
"Kıt’a (single piece) by Yedikuleli Seyyid Abdullah (SSM 110-0141)","Kıt’a (single piece) by Yedikuleli Seyyid Abdullah (SSM 110-0141)","Q108750933","92"
"Muraqqa (calligraphic album) containing calligraphies ascribed to Nazif Bey (SSM 120-0226)","Muraqqa (calligraphic album) containing calligraphies ascribed to Nazif Bey (SSM 120-0226)","Q108744733","92"
"A manual containing suras from the Qur'an and prayers (SSM 101-0288)","A manual containing suras from the Qur'an and prayers (SSM 101-0288)","Q108735931","92"
"Muraqqa (calligraphic album) by Abdülkadir Şükri (SSM 120-0523)","Muraqqa (calligraphic album) by Abdülkadir Şükri (SSM 120-0523)","Q108717605","92"
"Meşk (calligraphy exercise) by Abdurrahman Hilmi","Meşk (calligraphy exercise) by Abdurrahman Hilmi","Q108712006","92"
"Juz' 30 of the Quran signed by 'Abdullah al-Sayrafi","Juz' 30 of the Quran signed by 'Abdullah al-Sayrafi","Q108711574","92"
"Qur'an copied by the Şehzade Korkut (SSM 100-0279)","Qur'an copied by the Şehzade Korkut (SSM 100-0279)","Q108585577","92"
"Daleim","Dalheim","Q986412","93"
"Erpedange.","Erpeldange","Q986403","93"
"Woreldange","Wormeldange","Q985399","93"
"arocette","Larochette","Q985397","93"
"Linten","Lintgen","Q985395","93"
"Nommer","Nommern","Q985393","93"
"Gondolin Cdve","Gondolin Cave","Q5581472","94"
"Ginkgo Petrified Forest State Par","Ginkgo Petrified Forest State Park","Q5563141","94"
"Cropers Cave","Coopers Cave","Q5167942","94"
"Prokop vally","Prokop valley","Q3564060","94"
"Herkimer County","Herkimer County","Q487564","95"
"Rensselaer County","Rensselaer County","Q156566","95"
"Genesee County","Genesee County","Q115014","95"
"Essex County","Essex County","Q114992","95"
"Delaware County","Delaware County","Q115289","95"
"Putnam County","Putnam County","Q115266","95"
"New York","New York","Q1384","96"
"Hurricane Abby","Hurricane Abby (1960)","Q5947103","97"
"Tropical Storm Edouard","Tropical Storm Edouard","Q3517882","97"
"Tropical Storm Dolly","Tropical Storm Dolly","Q3517879","97"
"Tropical Storm Chris","Tropical Storm Chris","Q3517875","97"
"Tropical Storm Aletta","Tropical Storm Aletta","Q3517869","97"
"Hurricane Paul","Hurricane Paul","Q3358417","97"
"Sirkeci railway station","Sirkeci (Marmaray) railway station","Q109803831","98"
"Potsdamer Platz S-Bahn station","Potsdamer Platz S-Bahn station","Q106086519","98"
"München Hbf (tief) station","München Hbf (tief) station","Q105635178","98"
"Santa Maria di Licodia Sud railway station","Santa Maria di Licodia Sud railway station","Q87195419","98"
"S-Bahnhof Hamburg-Altona","S-Bahnhof Hamburg-Altona","Q70585725","98"
"Stuttgart Feuersee station","Stuttgart Feuersee station","Q53261512","98"
"Darwio","Darwin","Q90568351","99"
"Privilge","Privilege","Q90568336","99"
"SegurosBilbao","Seguros Bilbao","Q96199993","99"
"Direct Line Group","Direct Line Group","Q5280285","100"
"Catalana Occidente","Catalana Occidente","Q5936881","100"
"Trcm#line 8","Tram line 8","Q64022460","101"
"T6","T6","Q111263037","101"
"16","16","Q111155014","101"
"Tram lie 6","Tram line 6","Q108000749","101"
"Südvorstadt","Südvorstadt","Q90838614","102"
"Sirkeci","Sirkeci (T1)","Q107368951","102"
"Ginnheim","Ginnheim","Q104641825","102"
"Junikowo","Junikowo","Q110881413","102"
"LG G5","LG G5","Q22906342","103"
"Microsoft Lumia 950","Microsoft Lumia 950","Q21070532","103"
"Sony Xperia Z3","Sony Xperia Z3","Q17914035","103"
"Isfjorden","Isfjorden","Q1627557","104"
"Krossfjorden","Krossfjorden","Q1800049","104"
"Woodfjorden","Woodfjorden","Q2541605","104"
"Wijdefjorden","Wijdefjorden","Q1782839","104"
"Magdalenefjorden","Magdalenefjorden","Q1324045","104"
"Spitsbergen","Spitsbergen","Q21162","105"
"Albert I Land","Albert I Land","Q1103486","105"
"Colesbukta","Colesbukta","Q1108175","106"
"Möllerfjorden","Möllerfjorden","Q6373906","106"
"Liefdefjorden","Liefdefjorden","Q4567179","106"
"Vestfjorden","Vestfjorden","Q3441682","106"
"Gullybukta","Gullybukta","Q16891934","106"
"hynochetos jubatus","Rhynochetos jubatus","Q669634","107"
"Antarctic ern","Antarctic Tern","Q509423","107"
"uperb Lyrebird","Superb Lyrebird","Q757013","107"
"Pied ystercatcher","Pied Oystercatcher","Q781876","107"
"Eurynorkynchus pygmeus","Eurynorhynchus pygmeus","Q844897","107"
"senenium-85","selenium-85","Q18845152","108"
"slenium-94","selenium-84","Q18845151","108"
"selenium-86","selenium-83","Q18845150","108"
"selenium-73","selenium-72","Q18845148","108"
"bromine-85","bromine-85","Q18844813","109"
"bromine-84","bromine-84","Q18844811","109"
"bromine-83","bromine-83","Q18844810","109"
"arsenic-72","arsenic-72","Q18844786","109"
"Ponte de me Terese","Ponte de le Terese","Q56817091","110"
"Ponve San Giovanni","Ponte San Giovanni","Q56753862","110"
"Ponte San Martkno","Ponte San Martino","Q57998710","110"
"Ponte#Van Donato","Ponte San Donato","Q57983464","110"
"onte dek Preti","Ponte dei Preti","Q57326583","110"
"Ponte del Giavolo","Ponte del Diavolo","Q56683281","110"
"ines Lightkouse","Sines Lighthouse","Q1024908","111"
"Socreiras Lighthouse","Sobreiras Lighthouse","Q10280206","111"
"Outo Lighthouse","Outão Lighthouse","Q10280193","111"
"Forte do avalo Lighthouse","Forte do Cavalo Lighthouse","Q10280187","111"
"anta MartaLighthouse","Santa Marta Lighthouse","Q10280171","111"
"Azurara RearLighthouse","Azurara Rear Lighthouse","Q10280146","111"
"Chemung Cownty","Chemung County","Q854630","112"
